subj_id,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,specimen_id
,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,
,d,d,d,d,d,d,d,v,v,v,v,v,v,v,d,d,d,d,d,d,d,v,v,v,v,v,v,v,
,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,
38,0.121656,0.120834,0.150426,0.231566314311905,-0.01966452012384,0.192490216655289,0.0822,0.11715,0.11055,0.101475,0.206783908948448,-0.010042130429428,0.188318787233245,0.05775,0.114912,0.10944,0.145008,0.219809028386006,-0.01654583586504,0.171494804119542,0.067488,0.095140292974863,0.106353,0.113625,0.180039377217874,-0.026388833979108,0.171995675416564,0.046359,0
39,0.13038,0.137349073665232,0.113199415219359,0.200901673462418,-0.032509170823179,0.168395739851102,0.071457718967233,0.126742,0.126741549692842,0.076539,0.181211443482469,-0.031144551649942,0.166093145075286,0.043619,0.111142,0.10932,0.112053,0.189803084189905,-0.03811626530646,0.165313243900784,0.060126,0.118817,0.110654,0.087072,0.165990912272329,-0.029610459371648,0.16033646263405,0.047164,0
40,0.15675,0.132,0.177016887106236,0.364653733012566,0.060281112920788,0.204510161727969,0.087453891422852,0.141246,0.147028,0.129059258762786,0.381870261094,0.058328153885058,0.200719699581282,0.071880985997689,0.112468,0.113375,0.161446,0.343987447755002,0.060475673284828,0.195007109290918,0.078909,0.124259,0.127887,0.125733345748186,0.364618512409888,0.055259971593498,0.188710499339597,0.065310298307388,0
41,0.1551,0.15015,0.17655,0.343200991585106,0.069516172398278,0.203536044105215,0.0792,0.142244,0.152168,0.135628,0.332470457304104,0.038326716622744,0.200461797667286,0.07443,0.120040680147322,0.119017208579509,0.153621,0.330887237446536,0.071019448188939,0.196044980639648,0.070902,0.129078,0.133623,0.129987,0.323685697552425,0.036776851299557,0.193035733109184,0.060903,0
42,0.153078,0.144025,0.162131,0.355559812859946,0.050022741926025,0.206894081145402,0.085592,0.134475,0.1419,0.134918357603672,0.345690751431102,0.054500181980578,0.207076643419773,0.074268331070518,0.11791,0.118817,0.156911,0.345004726287916,0.054484413918195,0.190547726997726,0.074374,0.123361132256328,0.123255,0.13695,0.337959254865139,0.053340190552271,0.189906194698856,0.060258,0
43,0.143376,0.14008,0.159856,0.322605208042276,0.058004036602741,0.184605426225775,0.083224,0.126684,0.130824,0.12006,0.307188,0.048487912642532,0.190484994684621,0.072036,0.102039,0.111972,0.14448,0.292584541397867,0.060372978672563,0.179706075147725,0.074046,0.1145,0.110836,0.122243161059599,0.294178644527437,0.050372112965527,0.181451253619257,0.066874273678299,0
44,0.146316,0.13152,0.161112,0.314894671361711,0.059082519120407,0.194286094870425,0.085488,0.133469,0.134298,0.137614,0.281677072993171,0.028479165539524,0.194001941652655,0.078755,0.107457,0.102942,0.142674,0.303408,0.062423382038211,0.189939347677094,0.076755,0.116992,0.115164,0.136186,0.27632443684915,0.033304293454379,0.188286218433533,0.066722,0
45,0.117434,0.123223,0.160438,0.194431200032299,-0.037240772899014,0.19604261329109,0.068641,0.12679,0.125154,0.080164,0.207420671467431,0.051182468236967,0.187537984653776,0.046626,0.126351,0.108171,0.131805,0.175721714565958,-0.030070076244101,0.163683112827805,0.049995,0.119724,0.116096,0.105212,0.193403793605503,0.020393333537063,0.159840576803889,0.039908,0
46,0.103044,0.119664,0.128805,0.192140785938332,0.042766273455974,0.174527806234422,0.063156,0.104394,0.097818,0.07398,0.171362850816622,0.038295772172933,0.174388031332428,0.05754,0.095235,0.102491,0.116096,0.170083662016667,0.049850820482455,0.165074,0.051699,0.100566,0.090458259598865,0.084258,0.15311668044991,0.039537682370099,0.163996010744164,0.041676,0
47,0.119232,0.108468,0.149868,0.166775726291328,-0.01153111477661,0.173950956950515,0.081144,0.10686,0.103322284982377,0.052608,0.188282863649351,0.039926095836755,0.172627828393918,0.055074,0.093421,0.09977,0.142399,0.153293733352019,-0.009994280503461,0.163383406137221,0.061676,0.09919,0.10374,0.08281,0.164772833319088,-0.005449367078517,0.162003003984494,0.03276,0
